Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
Dirt 5,Racing,Codemasters,Codemasters,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Doom Eternal,First-person shooter,id Software,Bethesda Softworks,TBA,TBA,TBA,CB,
Dustborn,Action-adventure,Red Thread Games,Red Thread Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Dying Light 2,Survival horror,Techland,Techland Publishing,TBA,TBA,TBA,,
Dynasty Warriors 9: Empires,Hack and slash,Omega Force,Koei Tecmo,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Eiyuden Chronicle: Hundred Heroes,Japanese role-playing,Rabbit & Bear Studios,Rabbit & Bear Studios,"<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022",,
"<span data-sort-value=""Elder Scrolls Online !"">The Elder Scrolls Online",MMORPG,ZeniMax Online Studios,Bethesda Softworks,TBA,TBA,TBA,CB,
Far Cry 6,First-person shooter,Ubisoft Toronto,Ubisoft,TBA,TBA,TBA,CB,
FIFA 21,Sports,EA Vancouver,Electronic Arts,"<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020","<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020","<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020",˄ [c],
Final Fantasy XVI,Action role-playing,Square Enix,Square Enix,TBA,TBA,TBA,,
Five Nights at Freddy's: Security Breach,Survival horror,Steel Wool Studios,ScottGames,TBA,TBA,TBA,,
Flea Madness,Action,Missset,Crytivo Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Flipper Mechanic,Simulation,SimFabric,SimFabric,TBA,TBA,TBA,,[7]
For Honor,"Action
Fighting",Ubisoft Montreal,Ubisoft,"<span data-sort-value=""000000002020-12-01-0000"" style=""white-space:nowrap"">Dec 2020","<span data-sort-value=""000000002020-12-01-0000"" style=""white-space:nowrap"">Dec 2020","<span data-sort-value=""000000002020-12-01-0000"" style=""white-space:nowrap"">Dec 2020",CB,
Fortnite,"Battle royale
sandbox
survival",Epic Games,Epic Games,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CP,
Genshin Impact,Action role-playing,miHoYo,miHoYo,TBA,TBA,TBA,,
Ghostrunner,"Action
platform",One More Level,"All in! Games
505 Games","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB,
Ghostwire: Tokyo,Action-adventure,Tango Gameworks,Bethesda Softworks,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Go! Go! 5 Jigen Game Neptune: reVerse,Role-playing,Compile Heart,Compile Heart,"<span data-sort-value=""000000002020-12-17-0000"" style=""white-space:nowrap"">Dec 17, 2020",TBA,TBA,,
